id,artist,title,type,year,acquisitionYear,width,height,units,area
22942,"Gordon, Lady","Cottage at Wigmore, Kent",Watercolour,1803,1996,243,315,mm,765.45
63272,"Turner, Joseph Mallord William",Mountain and Lake,Watercolour,1842,1856,220,270,mm,594
15181,"Turner, Joseph Mallord William","Colchester, Essex",Line engraving,1827,1986,166,230,mm,381.8
63111,"Turner, Joseph Mallord William",A Storm over the Rigi,Watercolour,1844,1856,250,371,mm,927.5
120587,"Yamaguchi, Katsuhiro",Composition for APN,Photograph,1953,2012,215,150,mm,322.5
39826,"Turner, Joseph Mallord William",Study of Sky,Watercolour,1816,1856,125,247,mm,308.75
45235,"Turner, Joseph Mallord William",Study of Clouds,Watercolour,1823,1856,103,167,mm,172.01
85216,"Tillmans, Wolfgang","Hallenbad, Detail",Photograph,1995,2007,510,610,mm,3111
52503,"Turner, Joseph Mallord William",Margate,Watercolour,1830,1856,352,518,mm,1823.3600000000001
45975,"Turner, Joseph Mallord William",A Sky,Watercolour,1825,1856,114,188,mm,214.32000000000002
55037,"Turner, Joseph Mallord William","Venice, for Rogers’s ‘Italy’",Watercolour,1826,1856,240,306,mm,734.4000000000001
15274,"Turner, Joseph Mallord William",Lyme Regis,Line engraving,1836,1986,166,256,mm,424.96000000000004
5592,"Grant, Duncan",The Tub,Watercolour,1913,1965,762,559,mm,4259.58
10533,"Nash, John","Wild Garden, Winter",Watercolour,1959,1959,406,571,mm,2318.26
39894,"Turner, Joseph Mallord William",Study of Sky,Watercolour,1816,1856,125,247,mm,308.75
117865,"Stern, Grete",Hand in Sand,Photograph,1945,2012,110,157,mm,172.7
52604,"Turner, Joseph Mallord William",A Distant Castle on Rock,Watercolour,1820,1856,300,438,mm,1314
113747,"Model, Lisette","Famous gambler, Monte Carlo",Photograph,1934,2011,495,400,mm,1980
118172,"McCullin, Don","Sleeping man, Spitalfields, London",Photograph,1969,2012,345,520,mm,1794
121305,"Schulz-Dornburg, Ursula",Erevan-Artashat,Photograph,2001,2012,350,460,mm,1610
45513,"Turner, Joseph Mallord William",Folkestone from the Sea,Watercolour,1823,1856,488,684,mm,3337.92
116895,"Kiefer, Anselm",Untitled,Photograph,2006,2012,635,1260,mm,8001
15148,"Turner, Joseph Mallord William",Kirby Lonsdale Churchyard,Line engraving,1822,1986,194,280,mm,543.1999999999999
39884,"Turner, Joseph Mallord William",Study of Sky,Watercolour,1816,1856,125,247,mm,308.75
46083,"Turner, Joseph Mallord William",Mr Moffatt’s House at Mortlake,Watercolour,1825,1856,113,187,mm,211.31
16677,"Turner, Joseph Mallord William",Barnard Castle,Line engraving,1831,1988,87,120,mm,104.39999999999999
101104,"Zaatari, Akram","Baqari’s wife. Studio Shehrazade, Saida, Lebanon, 1957. Hashem el Madani",Photograph,2007,2008,290,190,mm,551
6676,"Holroyd, Sir Charles","Villa Torlonia, Frascati",Watercolour,1896,1918,279,210,mm,585.9
31037,"Turner, Joseph Mallord William",Colour Study: Inveraray,Watercolour,1801,1856,670,1013,mm,6787.0999999999995
101057,"Zaatari, Akram","Anonymous. UNRWA school, South Lebanon, 1960s. Hashem el Madani",Photograph,2007,2008,190,290,mm,551
5676,"Gregory, Edward John",Marooning,Watercolour,1887,1894,368,457,mm,1681.76
10518,"Nash, John","Rocks and Sand Dunes, Oxwich Bay, South Wales",Watercolour,1939,1940,394,571,mm,2249.74
63916,"Turner, Joseph Mallord William","Coastal Scenes with Shipping, Possibly on the Cattewater, Plymouth",Watercolour,1826,1856,300,230,mm,690
101092,"Zaatari, Akram","Anonymous. South Lebanon, 1952. Hashem el Madani",Photograph,2007,2008,190,290,mm,551
14931,"Turner, Joseph Mallord William",The Walls of Rome with the Tomb of Caius Sestus,Watercolour,1833,1940,146,197,mm,287.62
10416,"Müller, William James",The Splügen,Watercolour,1834,1908,283,397,mm,1123.5100000000002
15365,"Turner, Joseph Mallord William",Coteaux de Mauves,Line engraving,1833,1986,97,144,mm,139.68
46106,"Turner, Joseph Mallord William",Three Views of River,Watercolour,1825,1856,113,187,mm,211.31
16704,"Turner, Joseph Mallord William",Hermitage Castle,Line engraving,1834,1988,110,90,mm,99
64715,"Turner, Joseph Mallord William",[title not known],Watercolour,1825,1856,114,188,mm,214.32000000000002
108870,"Arnatt, Keith",Walking the Dog,Photograph,1976,2010,390,305,mm,1189.5
62134,"Turner, Joseph Mallord William",Clearing Up a Little,Watercolour,1844,1856,228,325,mm,741
118465,"Frank, Robert",City of London,Photograph,1951,2013,233,345,mm,803.85
16668,"Turner, Joseph Mallord William","Rochester, Stroud and Chatham, Medway, Kent",Line engraving,1838,1988,162,242,mm,392.03999999999996
18881,"Stanfield, Clarkson Frederick","Boulogne, Wreck on the Coast, engraved by J. Carter",Line engraving,1836,1989,89,141,mm,125.49
15080,"Turner, Joseph Mallord William","St Mawes, Cornwall",Line engraving,1824,1986,146,222,mm,324.12
56154,"Turner, Joseph Mallord William","A Dark Interior or Curtained Bed, with a Figure or Figures",Watercolour,1834,1856,101,77,mm,77.77
97156,"Arbus, Diane","Topless Dancer in her Dressing Room, San Francisco, Cal. 1968",Photograph,1968,2009,371,374,mm,1387.54
52558,"Turner, Joseph Mallord William","Lichfield Cathedral from St Michael’s Church, Greenhill",Watercolour,1832,1856,354,514,mm,1819.56
63400,"Turner, Joseph Mallord William",Figures in a Storm,Watercolour,1835,1856,354,507,mm,1794.78
101303,"Mapplethorpe, Robert",Patti Smith,Photograph,1976,2010,355,355,mm,1260.25
85236,"Tillmans, Wolfgang",Concorde L433-18A,Photograph,1997,2007,307,206,mm,632.4200000000001
6431,"Hilliard, John",‘Facade’ and ‘Flight of Happiness’,Photograph,1982,1984,407,699,mm,2844.9300000000003
113997,"Hine, Lewis","Near Bowling Green, Kentucky. Mrs J L Hazel and children stripping tobacco",Photograph,1915,2011,122,171,mm,208.62
56215,"Turner, Joseph Mallord William","An Interior with a Curtained Bed, with a Standing Woman",Watercolour,1834,1856,79,101,mm,79.79
93188,"Woodman, Francesca",Untitled,Photograph,1975,2009,98,105,mm,102.9
63411,"Turner, Joseph Mallord William",?Land’s End,Watercolour,1834,1856,506,615,mm,3111.9
85218,"Tillmans, Wolfgang","moonrise, Puerto Rico",Photograph,1995,2007,100,150,mm,150
52806,"Turner, Joseph Mallord William",Grenoble Bridge,Watercolour,1824,1856,555,750,mm,4162.5
13618,"Smythe, Lionel Percy",Germinal,Watercolour,1889,1889,584,445,mm,2598.7999999999997
23854,"Sanders, Ann","Wooded Landscape with Traveller and Packhorse, after F. Towne",Watercolour,1778,1997,275,387,mm,1064.25
63220,"Turner, Joseph Mallord William",Fluelen: Morning (Looking Towards the Lake of Lucerne): Sample Study,Watercolour,1844,1856,244,305,mm,744.1999999999999
46187,"Turner, Joseph Mallord William",Old London Bridge,Watercolour,1825,1856,113,187,mm,211.31
39837,"Turner, Joseph Mallord William",Study of Sky,Watercolour,1816,1856,125,247,mm,308.75
52734,"Turner, Joseph Mallord William",Pier-Head on Coast,Watercolour,1820,1856,193,273,mm,526.89
56178,"Turner, Joseph Mallord William","A Woman Kneeling beside a Curtained Bed, and a Man Casting a Shadow",Watercolour,1834,1856,79,101,mm,79.79
15405,"Turner, Joseph Mallord William",Venice - The Campanile,Line engraving,1834,1986,211,154,mm,324.94000000000005
54994,"Turner, Joseph Mallord William","Lake of Como, II (A Farewell), for Rogers’s ‘Italy’",Watercolour,1826,1856,245,305,mm,747.25
35530,"Turner, Joseph Mallord William",Scene in the Campagna (‘Woman at a Tank’ or ‘Hindoo Ablutions’),Watercolour,1808,1856,211,263,mm,554.9300000000001
62525,"Turner, Joseph Mallord William",Rain Falling over the Sea ?near Boulogne,Watercolour,1845,1856,238,336,mm,799.6800000000001
15043,"Turner, Joseph Mallord William","Land’s End, Cornwall",Line engraving,1814,1986,142,220,mm,312.4
52693,"Turner, Joseph Mallord William",Granville,Watercolour,1827,1856,190,273,mm,518.7
52793,"Turner, Joseph Mallord William","Bamburgh Castle, Northumberland",Watercolour,1837,1856,487,616,mm,2999.92
10413,"Müller, William James","Study of Pines, Rheinwald",Watercolour,1834,1908,269,410,mm,1102.8999999999999
93816,"Koller, Július",Universal-Cultural Futurological Operation,Photograph,1970,2007,239,160,mm,382.4
54902,"Turner, Joseph Mallord William","Vignette Study for ‘O’Connor’s Child’, for Campbell’s ‘Poetical Works’",Watercolour,1835,1856,181,228,mm,412.68000000000006
101440,"Nogueira, Lucia",Untitled,Watercolour,1991,2009,405,500,mm,2025
107383,"Wojnarowicz, David",Untitled,Photograph,1988,2010,200,250,mm,500
101118,"Zaatari, Akram","Palestinian resistants. Studio Shehrazade, Saida, Lebanon, 1968-72. Hashem el Madani",Photograph,2007,2008,289,292,mm,843.8799999999999
120236,"Siskind, Aaron",Bahia,Photograph,1984,2012,279,356,mm,993.24
15415,"Turner, Joseph Mallord William","Fontainbleau, engraved by William Miller",Line engraving,1835,1986,210,151,mm,317.09999999999997
46105,"Turner, Joseph Mallord William","River, with Two Bridges",Watercolour,1825,1856,113,187,mm,211.31
19252,"Hambling, Maggi",Sunrise 11.7.90,Watercolour,1990,1990,488,609,mm,2971.9199999999996
120601,"Kitadai, Shozo",Composition for APN,Photograph,1953,2012,160,110,mm,176
63155,"Turner, Joseph Mallord William","Lucerne, with the Hofkirche and the Rigi: Moonrise",Watercolour,1841,1856,233,311,mm,724.6300000000001
56177,"Turner, Joseph Mallord William",A Woman in an Interior,Watercolour,1834,1856,79,101,mm,79.79
1529,British School 19th century,Cheyne Walk,Watercolour,1840,1899,114,178,mm,202.92000000000002
39856,"Turner, Joseph Mallord William",Study of Sky,Watercolour,1816,1856,125,247,mm,308.75
20927,"Sugimoto, Hiroshi","Studio Drive-in, Culver City",Photograph,1993,1994,424,543,mm,2302.3199999999997
52642,"Turner, Joseph Mallord William","Moonlight, with Shipping",Watercolour,1820,1856,348,251,mm,873.48
15145,"Turner, Joseph Mallord William",Hornby Castle from Tatham Church,Line engraving,1822,1986,190,270,mm,513
46057,"Turner, Joseph Mallord William",View from Richmond Terrace; Also a Barge,Watercolour,1825,1856,114,188,mm,214.32000000000002
13426,"Siddal, Elizabeth Eleanor",Lady Affixing Pennant to a Knight’s Spear,Watercolour,1856,1917,137,137,mm,187.68999999999997
35611,"Turner, Joseph Mallord William","A River Bank, with Figures",Watercolour,1824,1856,193,275,mm,530.75
46171,"Turner, Joseph Mallord William",A Sketch,Watercolour,1825,1856,113,187,mm,211.31
23094,"Inchbold, John William","Suggestive Study, Paradise (Head of a Girl and a Bird of Paradise)",Watercolour,1864,1997,255,178,mm,453.90000000000003
56176,"Turner, Joseph Mallord William",Figures in an Interior,Watercolour,1834,1856,79,101,mm,79.79
101295,"Hervé, Lucien",Villa Royan (Quentin),Photograph,1953,2010,47,45,mm,21.150000000000002
63036,"Turner, Joseph Mallord William",Veste Coburg and Coburg from the North-West,Watercolour,1840,1856,244,307,mm,749.0799999999999
15375,"Turner, Joseph Mallord William","Château de la Mailleraie, engraved by Robert Brandard",Line engraving,1833,1986,93,139,mm,129.27
121307,"Schulz-Dornburg, Ursula",Erevan-Parakar,Photograph,2004,2012,350,425,mm,1487.5
39838,"Turner, Joseph Mallord William",Study of Sky,Watercolour,1816,1856,125,247,mm,308.75
54883,"Turner, Joseph Mallord William","Vignette Study of Sky, Trees and Figures; for Campbell’s ‘Poetical Works’",Watercolour,1835,1856,229,257,mm,588.53
97213,"Mapplethorpe, Robert",Self-Portrait,Photograph,1988,2008,271,575,mm,1558.25
3866,"Dibbets, Jan",Collage,Photograph,1973,1974,752,1016,mm,7640.32
18809,"Stanfield, Clarkson Frederick","Roque de Guet, Guernsey, engraved by J.C. Armytage",Line engraving,1836,1989,97,153,mm,148.41
56160,"Turner, Joseph Mallord William",?An Interior,Watercolour,1834,1856,77,101,mm,77.77
5510,"Goodwin, Albert",Ely Cathedral,Watercolour,1908,1908,254,375,mm,952.5
52510,"Turner, Joseph Mallord William","River, with Castle on Distant Hill",Watercolour,1820,1856,359,505,mm,1812.9499999999998
1887,"Buvelot, Louis",The Pool,Watercolour,1878,1951,178,254,mm,452.12
97259,"Mapplethorpe, Robert",Alice Neel,Photograph,1984,2011,508,406,mm,2062.48
56173,"Turner, Joseph Mallord William",A Reclining Nude with her Arms behind her Head,Watercolour,1834,1856,77,101,mm,77.77
21209,"Sherman, Cindy",Untitled #97,Photograph,1982,1983,1150,760,mm,8740
108812,"Arnatt, Keith",Pictures from a Rubbish Tip,Photograph,1988,2010,506,608,mm,3076.48
76400,"Collins, Phil",Caca,Photograph,2001,2003,762,914,mm,6964.68
15371,"Turner, Joseph Mallord William","Lillebonne, Château and Tower",Line engraving,1834,1986,100,136,mm,136
52618,"Turner, Joseph Mallord William",?An Alpine Scene,Watercolour,1820,1856,300,438,mm,1314
108911,"Arnatt, Keith",Gardeners,Photograph,1978,2010,404,304,mm,1228.1599999999999
52495,"Turner, Joseph Mallord William",?Worcester Cathedral from the River Severn,Watercolour,1834,1856,334,502,mm,1676.68
121313,"Schulz-Dornburg, Ursula","From Medina to Jordan Border, Saudi Arabia: Arqanat",Photograph,2003,2012,256,318,mm,814.08
63088,"Turner, Joseph Mallord William",A Stretch of Water,Watercolour,1840,1856,220,271,mm,596.2
54992,"Turner, Joseph Mallord William","Temples of Paestum, for Rogers’s ‘Italy’",Watercolour,1826,1856,240,305,mm,732
88981,"EXPORT, VALIE",Identity Transfer 3,Photograph,1968,2006,956,700,mm,6692
2018,"Cattermole, George",View in Venice,Watercolour,1852,1879,229,333,mm,762.5699999999999
15139,"Turner, Joseph Mallord William",Hardraw Fall,Line engraving,1818,1986,189,270,mm,510.29999999999995
52746,"Turner, Joseph Mallord William",Study for ‘Rokeby’,Watercolour,1822,1856,174,249,mm,433.25999999999993
12980,"Rouault, Georges",Landscape,Watercolour,1906,1944,175,216,mm,378
23352,"Payne, William",Landscape with Donkeys,Watercolour,1798,1997,237,338,mm,801.06
108931,"Arnatt, Keith",Gardeners,Photograph,1978,2010,404,304,mm,1228.1599999999999
86976,"Albers, Josef","Untitled (Maya Temple, Chichen Itza, Mexico)",Photograph,1935,2006,170,117,mm,198.89999999999998
115478,"Mikhailov, Boris",At Dusk,Photograph,1993,2011,122,273,mm,333.06
92156,"Shrigley, David",Carrots,Photograph,1999,2007,307,305,mm,936.35
26224,"Fulton, Hamish",Arkle Sutherland,Photograph,1976,1998,470,2110,mm,9917
63586,"Turner, Joseph Mallord William",Wingfield Manor: The Inner Gateway,Watercolour,1795,1856,202,273,mm,551.46
114538,"Mantz, Werner","Interior, Cologne 1928",Photograph,1928,2011,167,214,mm,357.37999999999994
97136,"Arbus, Diane","Russian Midget Friends in a Living Room on 100th Street, N.Y.C. 1963",Photograph,1963,2009,371,377,mm,1398.67
108935,"Arnatt, Keith",Gardeners,Photograph,1978,2010,404,304,mm,1228.1599999999999
121182,"Hatoum, Mona",Performance Still,Photograph,1985,2012,764,1136,mm,8679.04
63376,"Turner, Joseph Mallord William",The Red Bridge,Watercolour,1830,1856,306,380,mm,1162.8
52834,"Turner, Joseph Mallord William",Boats at Sea: Sunrise,Watercolour,1820,1856,490,694,mm,3400.6000000000004
35566,"Turner, Joseph Mallord William",Kingston Bank,Watercolour,1810,1856,198,268,mm,530.64
18935,"Frost, Sir Terry",Untitled Composition,Watercolour,1954,1989,570,438,mm,2496.6
112243,"Arnatt, Keith",Rejected Proposal for the Peter Stuyvesant ‘City Sculpture Project’ (For Cardiff City),Photograph,1972,2011,610,530,mm,3233
25980,"Goldin, Nan","Greer and Robert on the bed, NYC",Photograph,1982,1997,695,1015,mm,7054.25
15529,"Turner, Joseph Mallord William",Brussels - Distant View,Line engraving,1834,1987,83,141,mm,117.03
20928,"Sugimoto, Hiroshi","Rosecrans Drive-in, Paramount",Photograph,1993,1994,424,543,mm,2302.3199999999997
126085,"Wendt, Lionel",[title not known],Photograph,1933,2013,253,303,mm,766.59
118597,"Fairhurst, Angus",Man Abandoned,Photograph,1994,2012,605,505,mm,3055.25
121286,"Cohen, Lynne",Racquet Club,Photograph,1980,2012,194,242,mm,469.47999999999996
16654,"Turner, Joseph Mallord William","Ashby de la Zouch, Leicestershire",Line engraving,1832,1988,168,244,mm,409.92
12790,"Rossetti, Dante Gabriel",Dr Johnson at the Mitre,Watercolour,1860,1923,362,356,mm,1288.7200000000003
121297,"Schulz-Dornburg, Ursula",Erevan-Gymri,Photograph,2004,2012,349,452,mm,1577.48
56141,"Turner, Joseph Mallord William","?A Seated Nude from the Back, Possibly Embracing Another Figure in Shadow",Watercolour,1834,1856,77,101,mm,77.77
28530,"Turner, Joseph Mallord William","Study of a Cloudy Sunset Sky over Dark Sea, with a Ship in Sunlight",Watercolour,1796,1856,113,93,mm,105.09000000000002
52766,"Turner, Joseph Mallord William",Sunset,Watercolour,1820,1856,275,468,mm,1287
56148,"Turner, Joseph Mallord William","A Dark Interior, with a ?Kneeling Figure Holding the Foot of a Seated Naked Woman",Watercolour,1834,1856,77,101,mm,77.77
56201,"Turner, Joseph Mallord William","A Curtained Bed, with a Naked Woman Reclining",Watercolour,1834,1856,79,101,mm,79.79
12756,"Rosenquist, James",Pale Tent II,Watercolour,1976,1979,137,305,mm,417.84999999999997
108909,"Arnatt, Keith",Gardeners,Photograph,1978,2010,404,304,mm,1228.1599999999999
55171,"Turner, Joseph Mallord William",Fire at the Grand Storehouse of the Tower of London,Watercolour,1841,1856,235,325,mm,763.75
13801,"Steer, Philip Wilson","On the River Blackwater, Maldon",Watercolour,1933,1949,225,308,mm,693
52655,"Turner, Joseph Mallord William","A Castle on the Coast, Possibly Pendennis near Falmouth or Laugharne",Watercolour,1825,1856,338,439,mm,1483.82
16696,"Turner, Joseph Mallord William",Datur hora quieti,Line engraving,1834,1988,78,94,mm,73.32000000000001
15535,"Turner, Joseph Mallord William",Brienne,Line engraving,1834,1987,82,145,mm,118.89999999999999
